Rank,Prev,Team,Conf,Region,Rating,AdjEff,AdjO,AdjD,AdjHFA,Elo,Elo+,Wins,Losses,DIII W,DIII L,Conf W,Conf L,Pred. W,Pred. L,Pred. DIIIW,Pred. DIIIL,Pred. ConfW,Pred. ConfL,To-Date SOS,To-Date SOS+,To-Date NCSOS,SOS,SOS+,NCSOS,Future SOS,Future SOS+,Future NCSOS,MOV+,SOR,E+,G+,A+,BA,EAW,GAW,AAW,Best MOV,Opp...44,Best Win,Opp...46,Worst MOV,Opp...48,Worst Loss,Opp...50,OGrade,DGrade,Grade,OError,DError,Error,OC,DC,HC,WinPerc,Exp_SOR,Exp_BestW,Exp_WorstL,AdjGames,AdjWP
11,10,Wheaton Ill.,CCIW,5,36.29129179669094,35.516440687324256,47.17256016124465,11.656119473920391,0.6233578587049569,2270.388035995288,2315.540169276642,0,0,0,0,0,0,8.057692177894006,1.9423078221059942,8.057692177894006,1.9423078221059942,7.6817702267906,1.3182297732094002,NA,NA,NA,0.5956988845998937,0.22459765043254593,0.9913565349851621,0.5956988845998937,0.22459765043254593,0.9913565349851621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-9.348163824077231,48.04432731574042,38.696163491663185,-30.061549676830783,35.06228017579057,5.000730498959786,N,A+,B+,NA,NA,2.718281828459045,1,NA,NA
12,11,Bethel,MIAC,6,36.22513612237771,35.37752375702218,45.465326742182555,10.087802985160373,0.7583791276644906,2301.0560480260838,2322.5372205281874,0,0,0,0,0,0,9.258250581081157,0.7417494189188439,9.258250581081157,0.7417494189188439,8.258868011878317,0.7411319881216833,NA,NA,NA,0.43181465913504125,0.10242959515959404,0.13700228915956747,0.43181465913504125,0.10242959515959404,0.13700228915956747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.718281828459045,1,NA,NA
13,13,Johns Hopkins,CC,2,35.50090721276575,34.3469075904288,39.55822644846465,5.211318858035849,0.673244650838454,2401.7707386666016,2369.6635629668654,0,0,0,0,0,0,8.103659481514573,1.8963405184854265,8.103659481514573,1.8963405184854265,6.268183405658297,0.7318165943417032,NA,NA,NA,0.7253058062610842,0.23961625619302057,0.9620677171522501,0.7253058062610842,0.23961625619302057,0.9620677171522501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-8.935725682041571,33.3285311890037,24.392805506962127,-21.68658019668206,13.585642792987853,-8.100937403694205,N,A+,D+,NA,NA,2.718281828459045,1,NA,NA
14,14,John Carroll,NCAC,4,34.11431606523877,33.20699998242187,44.42322462163795,11.216224639216081,0.8742605043979789,2271.5321558203477,2282.3233424360305,0,0,0,0,0,0,8.505527553364061,1.494472446635939,8.505527553364061,1.494472446635939,7.08752923764476,0.9124707623552402,NA,NA,NA,0.5622973961058035,0.160286791501116,0.5937547065839663,0.5622973961058035,0.160286791501116,0.5937547065839663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-32.95017255291818,21.18641885279115,-11.763753700127033,-50.72368309257,8.658290887305865,-42.06539220526413,N,B+,N,NA,NA,2.718281828459045,1,NA,NA
15,16,Wartburg,ARC,5,33.296743689059745,32.0420117614736,36.92540565934597,4.883393897872364,1.8949928993335232,2385.5035570275863,2336.3864634433785,0,0,0,0,0,0,8.621379070555857,1.3786209294441427,8.621379070555857,1.3786209294441427,7.305721761078155,0.6942782389218447,NA,NA,NA,0.5672922388549492,0.17212701489243534,0.8913942076339916,0.5672922388549492,0.17212701489243534,0.8913942076339916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-23.86709384789048,35.92273419017934,12.05564034228886,-33.99555896221332,11.093499520315117,-22.902059441898206,N,A+,N,NA,NA,2.718281828459045,1,NA,NA
16,15,UW-Stout,WIAC,6,33.27920727290757,33.042851156217026,48.82683704228673,15.783985886069711,1.7638806442274124,2044.3948320361671,2028.6830657678963,0,0,0,0,0,0,6.330389157695792,3.669610842304208,6.330389157695792,3.669610842304208,3.784889013081239,3.215110986918761,NA,NA,NA,0.8190973219701224,0.41793461605064464,0.630256669059624,0.8190973219701224,0.41793461605064464,0.630256669059624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-24.412455014298,36.57221596067984,12.15976094638184,-46.57918700223814,22.20386605115315,-24.375320951084994,N,A+,N,NA,NA,2.718281828459045,1,NA,NA
17,18,UW-Oshkosh,WIAC,6,32.476452974392714,31.788220424029536,41.934361935368635,10.1461415113391,0.3580271031319418,2167.4527095231433,2158.348659729543,0,0,0,0,0,0,4.807314014183422,5.192685985816577,3.988825031141946,5.011174968858054,3.626998787423715,3.373001212576285,NA,NA,NA,0.9240519520736292,0.5358890218511169,0.9635062765354699,0.9240519520736292,0.5358890218511169,0.9635062765354699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-9.86915124447522,46.133461100516016,36.264309856040796,-25.143408125497256,31.960565532285752,6.817157406788496,N,A+,B+,NA,NA,2.718281828459045,1,NA,NA
18,17,DePauw,NCAC,4,32.47183761093225,31.896020065020583,45.666263522010844,13.770243456990261,0.8454002423063577,2124.396426818627,2133.207806551741,0,0,0,0,0,0,8.607452234736968,1.3925477652630331,8.607452234736968,1.3925477652630331,6.911396600809321,1.0886033991906787,NA,NA,NA,0.5742434688174346,0.13193441059426642,0.6715923656882342,0.5742434688174346,0.13193441059426642,0.6715923656882342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-26.175454838202043,25.733253925596564,-0.4422009126054789,-45.192004278226754,15.95481842918893,-29.237185849037825,N,A,N,NA,NA,2.718281828459045,1,NA,NA
19,19,Susquehanna,LAND,2,31.843354671788134,30.51811213706798,46.25398765804004,15.73587552097206,0.6913604509138965,2378.947571196117,2311.007397400274,0,0,0,0,0,0,8.647707585940223,1.3522924140597765,8.647707585940223,1.3522924140597765,5.7244917988899315,0.27550820111006846,NA,NA,NA,0.6233881697574619,0.1367409839441475,0.8347457258857172,0.6233881697574619,0.1367409839441475,0.8347457258857172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-21.819770112133853,27.511752634951904,5.691982522818051,-41.52219950570087,15.15509790730386,-26.367101598397007,N,A,N,NA,NA,2.718281828459045,1,NA,NA
20,20,Cortland,E8,2,31.772294823177393,30.37755806062389,44.50268255216437,14.125124491540484,0.889388389362738,2409.6854838900176,2314.753778400604,0,0,0,0,0,0,8.765745387192013,1.234254612807987,8.765745387192013,1.234254612807987,6.647889443714856,0.35211055628514387,NA,NA,NA,0.5626133102295053,0.13523247702750746,0.8579736671425616,0.5626133102295053,0.13523247702750746,0.8579736671425616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-9.642470091673978,39.35325480076353,29.710784709089552,-27.340308825235372,24.94346419849958,-2.396844626735792,N,A+,C+,NA,NA,2.718281828459045,1,NA,NA
21,21,Carnegie Mellon,CC,2,30.800581846681727,30.068974046414596,40.99950373564108,10.93052968922648,0.6597745170266233,2132.1375488450913,2142.753104114884,0,0,0,0,0,0,7.739585376717158,2.260414623282841,7.739585376717158,2.260414623282841,5.8296984386788395,1.1703015613211605,NA,NA,NA,0.6610400136361052,0.2266928111760551,0.7528495130140461,0.6610400136361052,0.2266928111760551,0.7528495130140461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-28.10134328865117,20.604676256451313,-7.496667032199856,-42.293475090468085,6.4839392395396835,-35.8095358509284,N,B+,N,NA,NA,2.718281828459045,1,NA,NA
22,22,Hope,MIAA,4,30.39510780362409,29.53242373550873,40.3660395831879,10.83361584767917,2.079281317974145,2156.115100821507,2188.3874114347577,0,0,0,0,0,0,9.215638872407109,0.7843611275928922,9.215638872407109,0.7843611275928922,6.283141670217223,0.7168583297827773,NA,NA,NA,0.4917082558606757,0.07617193100708192,0.38884678027545166,0.4917082558606757,0.07617193100708192,0.38884678027545166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-34.60001397892732,28.61616352703331,-5.9838504518940105,-48.316339480129095,15.491241892267919,-32.82509758786118,N,A,N,NA,NA,2.718281828459045,1,NA,NA
23,23,Grove City,PAC,2,30.234770951883792,29.710784709089552,38.41250347083309,8.701718761743535,1.3016695269589378,2056.2657897180575,2053.084563993002,0,0,0,0,0,0,7.859041955974488,2.1409580440255116,7.859041955974488,2.1409580440255116,7.077394122155705,0.9226058778442949,NA,NA,NA,0.5592020976131392,0.21628022015231255,0.9811820072892425,0.5592020976131392,0.21628022015231255,0.9811820072892425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-13.184373161610042,43.56193122223393,30.37755806062389,-24.94346419849958,27.340308825235372,2.396844626735792,N,A+,B-,NA,NA,2.718281828459045,1,NA,NA
24,25,Salisbury,NJAC,2,29.03827244786021,27.812192052102315,47.49043421377144,19.67824216166912,1.1685301856341648,2229.0210009116586,2288.6735468745696,0,0,0,0,0,0,8.849466664330672,1.1505333356693286,8.849466664330672,1.1505333356693286,6.238408969085106,0.7615910309148939,NA,NA,NA,0.4556568621704128,0.07080627488149585,0.44058510891793273,0.4556568621704128,0.07080627488149585,0.44058510891793273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-12.314346058515737,31.031195653390284,18.716849594874546,-33.19367834113144,27.581697522408827,-5.611980818722611,N,A+,D,NA,NA,2.718281828459045,1,NA,NA
25,26,Alma,MIAA,4,29.02480452596923,28.455780024006966,45.68518972503026,17.229409701023297,0.37360708774278517,2052.4697981907993,2017.4463293551712,0,0,0,0,0,0,8.149984968790443,1.8500150312095571,8.149984968790443,1.8500150312095571,6.084768758783489,0.9152312412165111,NA,NA,NA,0.6263636457602353,0.14989467967618247,0.840120907282636,0.6263636457602353,0.14989467967618247,0.840120907282636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-9.91606105052817,45.717466305790765,35.801405255262594,-28.9515366935723,38.4701287667977,9.518592073225399,N,A+,B+,NA,NA,2.718281828459045,1,NA,NA
26,27,Berry,SAA,3,28.120651532666564,27.784916592031077,41.69246657969515,13.907549987664073,1.2100437762749447,1938.2775910993246,1947.0335926288851,0,0,0,0,0,0,8.229805060228037,1.7701949397719627,8.229805060228037,1.7701949397719627,5.954911898320103,1.0450881016798972,NA,NA,NA,0.6313765109084184,0.14802594366205735,0.6844321135788677,0.6313765109084184,0.14802594366205735,0.6844321135788677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-22.26832775225157,32.2356778979723,9.967350145720733,-37.28391672338641,15.919744224803837,-21.364172498582576,N,A+,N,NA,NA,2.718281828459045,1,NA,NA
27,34,Coe,ARC,5,28.01422438553763,27.32912943263279,40.0903078756391,12.761178443006306,0.6560624634634038,2056.3638104706506,2043.3189092254538,1,0,1,0,0,0,7.768644278500126,2.2313557214998743,7.768644278500126,2.2313557214998743,6.538414432784744,1.4615855672152556,0.15909216294739115,0.0017116304532416304,0.15909216294739115,0.5108111632290597,0.162436457768468,0.5725365652668252,0.549891052149245,0.18029477191460425,0.9859809675862592,16.583588910054566,0.9942428951043236,1,1,1,0,7.225310376237637e-4,0.021094569071995584,0.19002518778017174,16.583588910054566,Cornell,TRUE,NA,16.583588910054566,Cornell,FALSE,NA,25.873250667425573,12.382694813278066,38.25594548070364,18.4033078796247,1.6378621551608799,20.04117003478558,A,C-,A,1,2.7026773562281954,2.718281828459045,1,1,0.03906365317283903
28,29,Central,ARC,5,26.9291814263719,26.152009669512346,38.07409837045628,11.922088700943931,1.581163559540758,2040.8193205665088,2076.0080414823956,0,0,0,0,0,0,7.958352736944361,2.041647263055639,7.958352736944361,2.041647263055639,6.584063585706673,1.415936414293327,NA,NA,NA,0.5633282934339927,0.16335217885470615,0.8398230509289374,0.5633282934339927,0.16335217885470615,0.8398230509289374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-22.197200424201593,32.5761715769578,10.378971152756204,-33.47435824963473,20.962205810996245,-12.512152438638488,N,A+,N,NA,NA,2.718281828459045,1,NA,NA
29,28,Springfield,NEWMAC,1,26.88468348383927,25.89526971910403,40.096259963784625,14.200990244680598,0.8171616685493593,2110.9250621903116,2138.5695197448467,0,0,0,0,0,0,8.966925878261666,1.0330741217383337,8.966925878261666,1.0330741217383337,6.877884170917066,0.12211582908293384,NA,NA,NA,0.38702785245361804,0.07758735569318177,0.589033186928421,0.38702785245361804,0.07758735569318177,0.589033186928421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-26.23194695190323,25.785897126083533,-0.44604982581969566,-39.6573869111871,15.669794164496087,-23.987592746691014,N,A,N,NA,NA,2.718281828459045,1,NA,NA
30,24,Randolph-Macon,ODAC,3,26.817504344779355,25.61006630139169,40.567257399515256,14.957191098123566,1.4889138339134607,2188.047467672902,2192.8929481786126,1,0,1,0,0,0,8.77162958300754,1.2283704169924596,8.77162958300754,1.2283704169924596,7.369859511054638,0.6301404889453623,0.5450923696336115,0.034726448713015445,0.5450923696336115,0.47428490985628746,0.09125067257974429,0.7442530645830032,0.46641741432547373,0.09753114189826971,0.9434137595323948,-12.381913853751971,0.9545957611277831,0,0,1,0,0.00938793894897716,0.11582780518284419,0.48314620017135723,-12.381913853751971,Dickinson,TRUE,NA,-12.381913853751971,Dickinson,FALSE,NA,19.015067159229336,-4.4335796721548935,14.581487487074442,7.6526582736879405,-30.142770162342973,-22.490111888655033,B,N,N,1,2.5976203115483782,2.718281828459045,1,0.16666666666666666,0.12382760456399618
31,30,Aurora,NACC,5,26.007979719115635,25.18734108940775,45.48741039252662,20.30006930311887,1.2905061012170107,2050.4697642960073,2035.8598344154527,0,0,0,0,0,0,8.901767046186269,1.0982329538137323,8.901767046186269,1.0982329538137323,7.795574297985524,0.2044257020144764,NA,NA,NA,0.3714874231040771,0.09126784341895414,0.7944211138119639,0.3714874231040771,0.09126784341895414,0.7944211138119639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-7.076136662861598,46.053500903507945,38.977364240646345,-25.942760995635233,37.34512705587379,11.402366060238556,N,A+,A-,NA,NA,2.718281828459045,1,NA,NA
32,31,Ithaca,LL,2,25.19614941431313,24.392805506962127,34.03047636147159,9.637670854509468,0.8697899955004395,2006.0292775403773,2040.9446416998678,0,0,0,0,0,0,7.77928125264342,2.22071874735658,7.77928125264342,2.22071874735658,6.228493700047934,0.7715062999520663,NA,NA,NA,0.5884305730668957,0.16802175439627304,0.862860007592802,0.5884305730668957,0.16802175439627304,0.862860007592802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-5.913264030503745,40.260171620932546,34.3469075904288,-13.585642792987853,21.68658019668206,8.100937403694205,N,A+,B+,NA,NA,2.718281828459045,1,NA,NA
33,32,Washington U.,CCIW,5,25.132483892713488,24.4113530517889,41.03231369048746,16.620960638698563,0.713645794945611,1973.9190213859267,2019.5750286249793,0,0,0,0,0,0,7.714196154522734,2.2858038454772656,7.714196154522734,2.2858038454772656,6.739035997432637,2.2609640025673627,NA,NA,NA,0.5411794928685281,0.1830931563199161,0.4005722388973527,0.5411794928685281,0.1830931563199161,0.4005722388973527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-32.833933419194544,27.664500955417907,-5.169432463776637,-47.407072801190914,15.849900482104465,-31.557172319086447,N,A,N,NA,NA,2.718281828459045,1,NA,NA
34,33,Washington and Jefferson,PAC,2,25.122325508312482,24.258074514046257,41.4992597438948,17.24118522984854,1.2663347047551095,2036.6887975702575,2037.2588263031048,0,0,0,0,0,0,8.199855734185672,1.8001442658143274,8.199855734185672,1.8001442658143274,6.478392136907568,1.5216078630924317,NA,NA,NA,0.49513143378898705,0.12221825340970291,0.6598058096251115,0.49513143378898705,0.12221825340970291,0.6598058096251115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-25.035697064193016,30.369495092716917,5.333798028523901,-39.88154437414426,18.135710234009476,-21.745834140134786,N,A+,N,NA,NA,2.718281828459045,1,NA,NA
35,36,Trinity Texas,SAA,3,24.498500173059007,23.38170673929232,34.92104743560266,11.539340696310342,0.5284941326982479,2136.6200004096086,2046.1178953839826,1,0,1,0,0,0,7.795405164187381,2.2045948358126206,7.795405164187381,2.2045948358126206,5.384854978544778,1.6151450214552217,0.7102541264252025,0.08462672481512246,0.7102541264252025,0.6462650508398289,0.12215178452138534,0.7111458207252882,0.6391551535525652,0.12632123559985897,0.7115916678753309,-0.9560654244661393,0.7968767339251672,0,1,1,0,0.06820159027564521,0.36863391688290204,0.7934277471383364,-0.9560654244661393,Texas Lutheran,TRUE,NA,-0.9560654244661393,Texas Lutheran,FALSE,NA,4.859060641683799,16.73133063045263,21.59039127213643,-5.520413240307342,6.173836781538068,0.6534235412307261,N,B,C,1,2.2186008155636,2.718281828459045,1,0.5,0.28921672528851267
36,35,Christopher Newport,NJAC,2,24.44862132346431,24.187125630049145,41.55720451758759,17.370078887538448,1.451812685402911,1803.8964253193124,1862.4094277409272,0,0,0,0,0,0,8.287555596588001,1.7124444034119977,8.287555596588001,1.7124444034119977,6.047687526985496,0.9523124730145041,NA,NA,NA,0.5144319563163423,0.125820359876875,0.6403232651483728,0.5144319563163423,0.125820359876875,0.6403232651483728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-27.09421453803245,35.07549173264378,7.981277194611334,-42.0403171244643,24.24457003839629,-17.795747086068012,N,A+,N,NA,NA,2.718281828459045,1,NA,NA
37,39,Endicott,CNE,1,23.042916039642876,22.10883458642925,31.92081627271541,9.81198168628616,1.0535226132812905,1992.7677054417231,2031.835817034898,0,0,0,0,0,0,9.509105733533602,0.4908942664663991,9.509105733533602,0.4908942664663991,6.846317324632469,0.15368267536753066,NA,NA,NA,0.2976221089452425,0.02993979570530043,0.4408945513173113,0.2976221089452425,0.02993979570530043,0.4408945513173113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,-34.46368301210425,18.977022879524085,-15.486660132580162,-39.75990984015752,0,-39.75990984015752,N,C+,N,NA,NA,2.718281828459045,1,NA,NA
38,43,Marietta,OAC,4,22.37665938236259,21.395385313224647,33.339041801165244,11.943656487940597,0.4559912745310516,2015.3997933670053,1990.249252209047,1,0,1,0,0,0,7.2917762607109795,2.7082237392890205,7.2917762607109795,2.7082237392890205,5.947583551968551,2.0524164480314493,0.9248783957355882,0.3120454021508712,0.9248783957355882,0.5621969578841348,0.15481349055391716,0.5251756602980934,0.5218990203450845,0.1373432781542556,0.12547292486059858,2.3586899144312885,0.5418962789111389,0,1,1,0,0.22242916553475567,0.6516693143249742,0.9386667423945386,2.3586899144312885,Westminster Pa.,TRUE,NA,2.3586899144312885,Westminster Pa.,FALSE,NA,2.963451122573917,22.154570735575867,25.118021858149785,-6.755379640844463,16.886595372529737,10.131215731685273,N,A,B,1,1.7192639770320728,2.718281828459045,1,0.5,0.4848821446081257
